TABLE_NAME,COLUMN_ID,COLUMN_NAME,DATA_DEFAULT
DST_PRIPIS_PODATKI,2,CREATED_AT,SYSTIMESTAMP
PARC_PRIPIS_PODATKI,2,CREATED_AT,SYSTIMESTAMP
