fid,koda_obm,nv_status,ime_obm,nv_kratka_oznaka,nv_zvrsti,nv_pomen,nv_rezim_vstop,nv_koord_e,nv_koord_n,geometry
ZOS_NV_PNT_JAME.6338,40546,,Devška jama,Jama občasni ponor,geomorfp,državni,3,464738,57046,POINT (464738.2453 57045.9149999991)
ZOS_NV_PNT_JAME.6372,40580,,Skednenca pod Sovico,"Spodmol, kevdrc",geomorfp,državni,3,456794,70227,POINT (456794 70227)
ZOS_NV_PNT_JAME.6411,40619,,Mivči Kevdrc,Vodoravna jama,geomorfp,državni,3,447843,80968,POINT (447843 80968)
ZOS_NV_PNT_JAME.6415,40623,,Brezno 2 na Bezovski gmajni,Poševno ali stopnjasto brezno,geomorfp,državni,3,449387,78089,POINT (449387 78089)
ZOS_NV_PNT_JAME.6422,40630,,Bilpa 1,Vodoravna jama,geomorfp,državni,3,497054,41447,POINT (497054 41447)
ZOS_NV_PNT_JAME.6430,40638,,Snežna jama pod Gostečnikovim stanom,Jama s stalnim ledom,geomorfp,državni,3,491730,137336,POINT (491730.1967 137336.092399999)
ZOS_NV_PNT_JAME.6447,40655,,Malo brezno v Krncovem talu,Brezno,geomorfp,državni,3,446845,87364,POINT (446845 87364)
ZOS_NV_PNT_JAME.6451,40659,,Lenarčičevo brezno 1,Brezno,geomorfp,državni,3,447629,85487,POINT (447628.5962 85486.5513000004)
ZOS_NV_PNT_JAME.6455,40663,,Hrenovo brezno,Brezno,geomorfp,državni,3,445519,85457,POINT (445518.5633 85456.5890999995)
ZOS_NV_PNT_JAME.6459,40667,,Mala Knežja jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,499634,62460,POINT (499634 62460)
ZOS_NV_PNT_JAME.6080,40288,,Mačina jama,"Jama občasni izvir, Vodoravna jama",geomorfp,državni,3,439055,81620,POINT (439055.4085 81619.5987999998)
ZOS_NV_PNT_JAME.6087,40295,,Brezno 2 pri Kaliških koliševkah,Poševno ali stopnjasto brezno,geomorfp,državni,3,439568,83587,POINT (439568.4406 83586.6559999995)
ZOS_NV_PNT_JAME.6096,40304,,Brezno v Povšnah v Novem svetu,Brezno,geomorfp,državni,3,433738,86277,POINT (433738.4303 86276.7423)
ZOS_NV_PNT_JAME.6285,40493,,Ciganska jama pri Predgrižah,"Jama z breznom in etažami, poševna jama",geomorfp,državni,2,427929,89057,POINT (427929 89057)
ZOS_NV_PNT_JAME.6290,40498,,Ravbarska luknja 2 nad Libojami,Vodoravna jama,geomorfp,državni,3,514800,118255,POINT (514800.0767 118255.2391)
ZOS_NV_PNT_JAME.6334,40542,,Jama pri Pečini,Vodoravna jama,geomorfp,državni,3,403778,92117,POINT (403777.949 92117.1809)
ZOS_NV_PNT_JAME.6259,40467,,Trbiška zijalka,Vodoravna jama,geomorfp,državni,2,479195,136546,POINT (479195.1125 136546.463099999)
ZOS_NV_PNT_JAME.6262,40470,,Zgornja Stopenca,"Spodmol, kevdrc",geomorfp,državni,3,539665,94209,POINT (539665 94209)
ZOS_NV_PNT_JAME.6108,40316,,Škamprlova jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,2,411783,61917,POINT (411783 61917)
ZOS_NV_PNT_JAME.6111,40319,,Jama na Primčevi gmajni,Poševno ali stopnjasto brezno,geomorfp,državni,3,441128,84687,POINT (441128.4761 84686.6658999994)
ZOS_NV_PNT_JAME.6119,40327,,Suhi brezen pri Kališah,Brezno,geomorfp,državni,3,439478,82427,POINT (439478.4246 82426.6184999999)
ZOS_NV_PNT_JAME.6127,40335,,Žnidarjeva jama,"Spodmol, kevdrc",geomorfp,državni,3,441654,104894,POINT (441654 104894)
ZOS_NV_PNT_JAME.6159,40367,,Jama pri taboru,"Spodmol, kevdrc",geomorfp,državni,3,441601,126494,POINT (441601 126494)
ZOS_NV_PNT_JAME.6166,40374,,Jama na Grivi,"Spodmol, kevdrc",geomorfp,državni,3,408299,130658,POINT (408298.6673 130658.032299999)
ZOS_NV_PNT_JAME.6170,40378,,Gabrovška jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,2,449731,79898,POINT (449731 79898)
ZOS_NV_PNT_JAME.6174,40382,,Junčenca,Vodoravna jama,geomorfp,državni,3,419112,129229,POINT (419111.8779 129228.815400001)
ZOS_NV_PNT_JAME.6177,40385,,Stričanica,"Spodmol, kevdrc",geomorfp,državni,3,535411,72886,POINT (535411 72886)
ZOS_NV_PNT_JAME.6181,40389,,Lisičja jama v Arto grabnu,"Spodmol, kevdrc",geomorfp,državni,3,529078,93065,POINT (529078 93065)
ZOS_NV_PNT_JAME.6189,40397,,Jama pri Lipniški skali,"Spodmol, kevdrc",geomorfp,državni,3,439429,129817,POINT (439429.454 129817.3564)
ZOS_NV_PNT_JAME.6193,40401,,Lisičja luknja,Vodoravna jama,geomorfp,državni,3,462027,111190,POINT (462027.3074 111189.5689)
ZOS_NV_PNT_JAME.6197,40405,,Jurjevčeva prepad,Jama z občasnim tokom,geomorfp,državni,3,424479,140713,POINT (424479.4134 140712.894400001)
ZOS_NV_PNT_JAME.6201,40409,,Jama 2 pri Konfini,Brezno,geomorfp,državni,3,410923,62377,POINT (410922.6051 62376.6229999997)
ZOS_NV_PNT_JAME.6208,40416,,Malo Brezarjevo brezno,Poševno ali stopnjasto brezno,geomorfp,državni,3,456392,104630,POINT (456392 104630)
ZOS_NV_PNT_JAME.6341,40549,,Požiralnik pri Habečkovem breznu,"Brezno stalni ponor, Brezno",geomorfp,državni,3,425758,90412,POINT (425758.4284 90411.9118000008)
ZOS_NV_PNT_JAME.6346,40554,,Jama 1 pri jamah za lesom,Brezno,geomorfp,državni,3,404028,92437,POINT (404027.9556 92437.1752000004)
ZOS_NV_PNT_JAME.6354,40562,,Ledenica na Golteh,Brezno s stalnim ledom,geomorfp,državni,3,492564,137392,POINT (492564 137392)
ZOS_NV_PNT_JAME.6358,40566,,Mejalna jama,Poševno ali stopnjasto brezno,geomorfp,državni,3,500554,129753,POINT (500554 129753)
ZOS_NV_PNT_JAME.6361,40569,,Zatočna jama,Jama občasni ponor ob stalnem toku,geomorfp,državni,3,477277,84766,POINT (477277 84766)
ZOS_NV_PNT_JAME.6368,40576,,Zelške jame,"Jama stalni izvir, Jamski sistem",geomorfp,državni,2,445858,72529,POINT (445858 72529)
ZOS_NV_PNT_JAME.5992,40200,,Firštova jama,Brezno,geomorfp,državni,3,440475,83273,POINT (440475.4492 83272.6294999998)
ZOS_NV_PNT_JAME.5996,40204,,Srnjakova jama,Poševno ali stopnjasto brezno,geomorfp,državni,3,441282,82786,POINT (441282.4541 82785.5993000008)
ZOS_NV_PNT_JAME.5999,40207,,Jama 1 v Starem koniku,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,442256,81602,POINT (442256.4545 81601.5414000005)
ZOS_NV_PNT_JAME.6003,40211,,Brezno 1 pri Skedneni jami,Brezno,geomorfp,državni,3,441149,81948,POINT (441149 81948)
ZOS_NV_PNT_JAME.6007,40215,,Požiralnik v Ključu,Jama občasni ponor ob občasnem toku,geomorfp,državni,3,475681,87184,POINT (475681 87184)
ZOS_NV_PNT_JAME.6015,40223,,Brezno 1 v Hrvatih,Brezno,geomorfp,državni,3,442280,82455,POINT (442280 82455)
ZOS_NV_PNT_JAME.6027,40235,,Gadina,Jama stalni ponor,geomorfp,državni,3,514237,47189,POINT (514237 47189)
ZOS_NV_PNT_JAME.6030,40238,,Jama pri Kraških vratih,"Spodmol, kevdrc",geomorfp,državni,3,412891,48803,POINT (412891 48803)
ZOS_NV_PNT_JAME.6034,40242,,Ledena jama na Prevagilu,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,472856,63724,POINT (472856 63724)
ZOS_NV_PNT_JAME.6039,40247,,Kapljiva jama,Vodoravna jama,geomorfp,državni,3,479748,68767,POINT (479748 68767)
ZOS_NV_PNT_JAME.6247,40455,,Ozka Lazarjeva jama,Brezno,geomorfp,državni,3,488889,73445,POINT (488888.5886 73445.4082999993)
ZOS_NV_PNT_JAME.6254,40462,,Jama v dolu pod Urbaničevim vrtom,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,411628,65707,POINT (411627.6561 65706.6613999996)
ZOS_NV_PNT_JAME.5921,40129,,Jama pod Babjim zobom,Vodoravna jama,geomorfp,državni,2,428752,132233,POINT (428752 132233)
ZOS_NV_PNT_JAME.5925,40133,,Nuca,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,458488,63866,POINT (458488.2758 63865.9312999994)
ZOS_NV_PNT_JAME.5936,40144,,Kobilna jama,Jama občasni izvir,geomorfp,državni,3,493764,43075,POINT (493764 43075)
ZOS_NV_PNT_JAME.5943,40151,,Štupnikova lisičina,"Spodmol, kevdrc",geomorfp,državni,3,480610,85442,POINT (480609.7894 85441.7750000004)
ZOS_NV_PNT_JAME.5947,40155,,Veliko brezno v Intiharjevem talu,Brezno,geomorfp,državni,3,453959,88816,POINT (453958.7237 88816.4571000002)
ZOS_NV_PNT_JAME.5952,40160,,Ledena jama pri Predgrižah,Vodoravna jama,geomorfp,državni,3,427928,88387,POINT (427928.3522 88386.8310000002)
ZOS_NV_PNT_JAME.5959,40167,,Velika Postojnska golobina,Brezno,geomorfp,državni,3,440475,68776,POINT (440475 68776)
ZOS_NV_PNT_JAME.6743,40951,,Velbenca,Poševno ali stopnjasto brezno,geomorfp,državni,3,412418,60072,POINT (412417.6203 60071.5713)
ZOS_NV_PNT_JAME.6747,40955,,Kačna jama,"Jama s stalnim tokom, Jamski sistem",geomorfp,državni,2,418713,60761,POINT (418712.7025 60761.4847999997)
ZOS_NV_PNT_JAME.6750,40958,,Gabranca,"Brezno - estavela, Jama z breznom in etažami, poševna jama",geomorfp,državni,3,433593,58606,POINT (433592.9381 58606.2586000003)
ZOS_NV_PNT_JAME.6525,40733,,Kozja jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,2,436540,81593,POINT (436540 81593)
ZOS_NV_PNT_JAME.6532,40740,,Palčji spodmol,"Spodmol, kevdrc",geomorfp,državni,3,442330,61380,POINT (442330 61380)
ZOS_NV_PNT_JAME.6536,40744,,Beloglavka,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,436251,75248,POINT (436251 75248)
ZOS_NV_PNT_JAME.6543,40751,,Ledenica pri Dolu,"Jama z breznom in etažami, poševna jama, Jama z občasnim ledom",geomorfp,državni,2,413819,90893,POINT (413819 90893)
ZOS_NV_PNT_JAME.6581,40789,,Mrzla jama na Pristavi,Vodoravna jama,geomorfp,državni,3,472883,65688,POINT (472883 65688)
ZOS_NV_PNT_JAME.6585,40793,,Matevžkova jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,460309,111467,POINT (460309.2956 111466.601500001)
ZOS_NV_PNT_JAME.6589,40797,,Podpološka jama,Jama občasni izvir,geomorfp,državni,3,401504,124438,POINT (401503.5259 124438.0437)
ZOS_NV_PNT_JAME.6597,40805,,Zidanica v Žlebeh,Jama stalni izvir,geomorfp,državni,3,408398,110713,POINT (408398.4738 110712.502800001)
ZOS_NV_PNT_JAME.6601,40809,,Jama v Črnem dolu,Brezno,geomorfp,državni,3,451400,48636,POINT (451400 48636)
ZOS_NV_PNT_JAME.6616,40824,,Jama v Molidniku,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,385728,123388,POINT (385728.3147 123388.352299999)
ZOS_NV_PNT_JAME.6620,40828,,Divja jama nad Plavmi,"Jama z breznom in etažami, poševna jama, Jama z bazeni nakapane vode",geomorfp,državni,2,389578,102858,POINT (389577.9835 102857.626399999)
ZOS_NV_PNT_JAME.6628,40836,,Jama v rudniku Pri Štolnu,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,400439,141908,POINT (400438.6844 141908.3881)
ZOS_NV_PNT_JAME.6665,40873,,Snežni kotel 14,Brezno s snegom,geomorfp,državni,3,467050,135707,POINT (467049.8959 135706.7662)
ZOS_NV_PNT_JAME.6681,40889,,Ovčja jama,Vodoravna jama,geomorfp,državni,3,435183,66516,POINT (435183 66516)
ZOS_NV_PNT_JAME.6684,40892,,Bruhalnik pri Mrzli jami pri Prestranku,Jama občasni izvir,geomorfp,državni,3,435248,66986,POINT (435248.1443 66986.3286000006)
ZOS_NV_PNT_JAME.6705,40913,,Jama 1 v Jamcah,Brezno,geomorfp,državni,3,426440,76335,POINT (426440 76335)
ZOS_NV_PNT_JAME.6712,40920,,Ledenica pod Hrušico,Brezno,geomorfp,državni,3,430773,79587,POINT (430773 79587)
ZOS_NV_PNT_JAME.7254,41462,,Brezen južno od Nemcev,Brezno,geomorfp,državni,3,404576,94227,POINT (404576 94227)
ZOS_NV_PNT_JAME.7258,41466,,Jama v kleti,Brezno,geomorfp,državni,3,517279,80410,POINT (517279.1438 80409.9326000009)
ZOS_NV_PNT_JAME.7261,41469,,Jama 2 pri Trnovem,"Spodmol, kevdrc",geomorfp,državni,3,402308,92537,POINT (402307.9704 92537.2408000007)
ZOS_NV_PNT_JAME.7088,41296,,Brezno pri Jazbec cesti,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,497058,63060,POINT (497058.3712 63060.4941000007)
ZOS_NV_PNT_JAME.7095,41303,,Duplina nad Kristlerjem,Vodoravna jama,geomorfp,državni,3,494407,67576,POINT (494407 67576)
ZOS_NV_PNT_JAME.7111,41319,,Jama 4 na Pokljuki,Jama/brezno,geomorfp,državni,3,421199,138538,POINT (421199.1814 138538.0042)
ZOS_NV_PNT_JAME.7115,41323,,Brezno 2 na Jelovici,Brezno,geomorfp,državni,3,431819,129358,POINT (431819.1859 129357.572000001)
ZOS_NV_PNT_JAME.7123,41331,,Jama 1 pri Gorjušah,Jama/brezno,geomorfp,državni,3,423479,129538,POINT (423479.0243 129537.730599999)
ZOS_NV_PNT_JAME.7127,41335,,Jama 4 pri Gorjušah,Jama/brezno,geomorfp,državni,3,426269,130198,POINT (426269.0775 130197.717800001)
ZOS_NV_PNT_JAME.7131,41339,,Šmajdov grad,"Spodmol, kevdrc",geomorfp,državni,3,452420,124717,POINT (452419.5741 124716.9838)
ZOS_NV_PNT_JAME.6492,40700,,Žentonovo brezno,Brezno,geomorfp,državni,3,448124,83479,POINT (448124 83479)
ZOS_NV_PNT_JAME.6503,40711,,Divje babe,"Spodmol, kevdrc",geomorfp,državni,3,397928,110188,POINT (397928.3411 110187.768200001)
ZOS_NV_PNT_JAME.6514,40722,,Mala Kobilna jama,"Spodmol, kevdrc",geomorfp,državni,3,493692,42849,POINT (493692 42849)
ZOS_NV_PNT_JAME.6518,40726,,Brezno nad Grgljem,Brezno,geomorfp,državni,3,496221,42465,POINT (496221 42465)
ZOS_NV_PNT_JAME.6521,40729,,Maletova jama,Jama stalni ponor,geomorfp,državni,3,413799,50935,POINT (413797.5377 50936.4778000005)
ZOS_NV_PNT_JAME.6769,40977,,Brlovka,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,432562,68561,POINT (432562 68561)
ZOS_NV_PNT_JAME.6772,40980,,Vodovodna jama,Jama občasni izvir,geomorfp,državni,3,402496,113329,POINT (402496 113329)
ZOS_NV_PNT_JAME.6776,40984,,Ledena jama v Peklu,Jama s stalnim ledom,geomorfp,državni,3,455768,51236,POINT (455768.1863 51235.8980999999)
ZOS_NV_PNT_JAME.6787,40995,,Brezno v Markovi dolini,Brezno,geomorfp,državni,3,453944,55110,POINT (453944 55110)
ZOS_NV_PNT_JAME.6791,40999,,Udor 2 v Koritih,Brezno,geomorfp,državni,3,458898,53706,POINT (458898.2 53705.8925999999)
ZOS_NV_PNT_JAME.6833,41041,,Jama v kamnolomu pri Matenji Vasi,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,436763,66531,POINT (436763 66531)
ZOS_NV_PNT_JAME.6857,41065,,Laški kotel,Brezno,geomorfp,državni,3,440753,82532,POINT (440753 82532)
ZOS_NV_PNT_JAME.6860,41068,,Ozko brezno,Brezno,geomorfp,državni,3,492828,49061,POINT (492828.0619 49060.5490000006)
ZOS_NV_PNT_JAME.6864,41072,,Brezno na Gulvrhu,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,434578,66736,POINT (434578.1193 66736.3383000009)
ZOS_NV_PNT_JAME.6881,41089,,Javorska jama,Jama stalni izvir,geomorfp,državni,3,504252,99330,POINT (504252 99330)
ZOS_NV_PNT_JAME.6918,41126,,Komunska jama,Brezno,geomorfp,državni,3,419415,51704,POINT (419414.5997 51704.3976000007)
ZOS_NV_PNT_JAME.6925,41133,,Šišca,Vodoravna jama,geomorfp,državni,3,422183,50371,POINT (422182.6086 50371.3643999994)
ZOS_NV_PNT_JAME.6937,41145,,Jama pod Zajčevo dolino,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,419197,52968,POINT (419197 52968)
ZOS_NV_PNT_JAME.6941,41149,,Perčinelova jama,Poševno ali stopnjasto brezno,geomorfp,državni,3,419218,53996,POINT (419217.6262 53996.4222999997)
ZOS_NV_PNT_JAME.6952,41160,,Slivarske ponikve,"Jama občasni ponor ob stalnem toku, Jamski sistem",geomorfp,državni,3,425192,48505,POINT (425192 48505)
ZOS_NV_PNT_JAME.6997,41205,,Globoko brezno,Brezno s stalnim ledom,geomorfp,državni,3,466670,135607,POINT (466669.8944 135606.769300001)
ZOS_NV_PNT_JAME.7000,41208,,Jama na Brusovem,Brezno,geomorfp,državni,3,441259,88137,POINT (441258.5284 88136.7678999994)
ZOS_NV_PNT_JAME.7004,41212,,Zjot pod Krtino,"Spodmol, kevdrc",geomorfp,državni,3,514664,35976,POINT (514664 35976)
ZOS_NV_PNT_JAME.7008,41216,,Francoska jama,Brezno,geomorfp,državni,3,511778,42320,POINT (511778.2636 42320.0984000005)
ZOS_NV_PNT_JAME.7015,41223,,Lunkova jama,Jama občasni izvir ob občasnem toku,geomorfp,državni,3,456875,67516,POINT (456875 67516)
ZOS_NV_PNT_JAME.7023,41231,,Jama nad Kamno gorico,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,438029,130587,POINT (438029.4223 130587.410800001)
ZOS_NV_PNT_JAME.7031,41239,,Jama pri Tomcu,Jama/brezno,geomorfp,državni,3,426639,120158,POINT (426638.9447 120157.5503)
ZOS_NV_PNT_JAME.7035,41243,,Zimska jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,438138,123936,POINT (438138.2357 123936.3214)
ZOS_NV_PNT_JAME.7265,41473,,Brezen 2 pri Bregu,Brezno,geomorfp,državni,3,400928,101417,POINT (400928.1992 101417.4312)
ZOS_NV_PNT_JAME.7273,41481,,Brezen 2 pri Zgorelnicah,Brezno,geomorfp,državni,3,401963,99032,POINT (401963.1474 99032.3719999995)
ZOS_NV_PNT_JAME.7277,41485,,Jama pri Podlaki,Vodoravna jama,geomorfp,državni,3,401199,98688,POINT (401199 98688)
ZOS_NV_PNT_JAME.7289,41497,,Snežna jama pri Jelovem hribu,Brezno s snegom,geomorfp,državni,3,407088,91047,POINT (407087.9517 91047.1024999991)
ZOS_NV_PNT_JAME.7293,41501,,Brezno 2 pri Korenu,Brezno,geomorfp,državni,3,406633,94642,POINT (406633.0222 94642.1744999997)
ZOS_NV_PNT_JAME.7297,41505,,Jama pri Logu,"Spodmol, kevdrc",geomorfp,državni,3,401428,111188,POINT (401428.4058 111187.6766)
ZOS_NV_PNT_JAME.7301,41509,,Brezen 3 pri Batičih,Brezno,geomorfp,državni,3,401628,93187,POINT (401627.9924 93187.2737000007)
ZOS_NV_PNT_JAME.7508,41716,,Jama Butovca,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,413428,80427,POINT (413427.8869 80426.8511999995)
ZOS_NV_PNT_JAME.7519,41727,,Osekova jama,Poševno ali stopnjasto brezno,geomorfp,državni,3,474862,80632,POINT (474862 80632)
ZOS_NV_PNT_JAME.7527,41735,,Brezno na Počku,Brezno,geomorfp,državni,3,440803,67436,POINT (440803.2583 67436.2478999998)
ZOS_NV_PNT_JAME.7539,41747,,Brezno pod Jelenčkom,Poševno ali stopnjasto brezno,geomorfp,državni,3,440775,73899,POINT (440775 73899)
ZOS_NV_PNT_JAME.7543,41751,,Kmetova luknja 2,Vodoravna jama,geomorfp,državni,3,433209,89967,POINT (433208.5099 89966.8209000006)
ZOS_NV_PNT_JAME.7547,41755,,Tekcov brezen,Brezno,geomorfp,državni,3,420068,81637,POINT (420068.0175 81636.7166000009)
ZOS_NV_PNT_JAME.7588,41796,,Jelenja jama,Jama s stalnim tokom,geomorfp,državni,3,519425,49279,POINT (519425 49279)
ZOS_NV_PNT_JAME.7591,41799,,Miklarska jama,Jama občasni izvir,geomorfp,državni,3,507760,45978,POINT (507760.2602 45978.2455000002)
ZOS_NV_PNT_JAME.7602,41810,,Brlog,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,510687,41878,POINT (510687 41878)
ZOS_NV_PNT_JAME.7174,41382,,Jama v Bukovniku,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,418746,61114,POINT (418746 61114)
ZOS_NV_PNT_JAME.7177,41385,,Brezno pri Guštinovi dolini,Poševno ali stopnjasto brezno,geomorfp,državni,3,416252,51422,POINT (416252 51422)
ZOS_NV_PNT_JAME.7181,41389,,Osje brezno,Poševno ali stopnjasto brezno,geomorfp,državni,3,414548,49516,POINT (414547.5208 49516.4561999999)
ZOS_NV_PNT_JAME.7193,41401,,Jama pri kalu,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,412165,51075,POINT (412165 51075)
ZOS_NV_PNT_JAME.7203,41411,,Prparjeva jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,504129,77355,POINT (504128.914 77355.1931999996)
ZOS_NV_PNT_JAME.7215,41423,,Brezen 3 pri Lohkah,Brezno,geomorfp,državni,3,398718,101817,POINT (398718.1803 101817.470100001)
ZOS_NV_PNT_JAME.7219,41427,,Jama pri Kanalskem vrhu,Vodoravna jama,geomorfp,državni,3,396628,104688,POINT (396628.2187 104687.5908)
ZOS_NV_PNT_JAME.8011,42219,,Brenčenka,Brezno,geomorfp,državni,3,471799,79276,POINT (471798.6254 79275.9252000004)
ZOS_NV_PNT_JAME.8019,42227,,Špranja 2 za Šmarjetno glavo,Brezno,geomorfp,državni,3,409619,137238,POINT (409618.8237 137238.082900001)
ZOS_NV_PNT_JAME.8024,42232,,Jama nad Doličem,Brezno s snegom,geomorfp,državni,3,409499,137128,POINT (409498.8189 137128.0821)
ZOS_NV_PNT_JAME.8028,42236,,Brezno 2 pod Šmarjetno glavo,Brezno s snegom,geomorfp,državni,3,409619,136778,POINT (409618.814 136778.073100001)
ZOS_NV_PNT_JAME.8032,42240,,Luknja,Brezno,geomorfp,državni,3,409669,137208,POINT (409668.8241 137208.081499999)
ZOS_NV_PNT_JAME.8044,42252,,Udor pod Vršaki,Jama s snegom,geomorfp,državni,3,408559,135718,POINT (408558.7698 135718.064200001)
ZOS_NV_PNT_JAME.8048,42256,,Špranja 2 pod Vršaki,Jama s snegom,geomorfp,državni,3,408729,135488,POINT (408728.7684 135488.0572)
ZOS_NV_PNT_JAME.8082,42290,,Spodmol na drugi serpentini,"Spodmol, kevdrc",geomorfp,državni,3,502728,41960,POINT (502728.1361 41960.3289999999)
ZOS_NV_PNT_JAME.8098,42306,,Čahovica,Brezno,geomorfp,državni,3,469550,85342,POINT (469550 85342)
ZOS_NV_PNT_JAME.8101,42309,,Mahorčkova jama,Poševno ali stopnjasto brezno,geomorfp,državni,3,474640,82370,POINT (474640 82370)
ZOS_NV_PNT_JAME.7434,41642,,Jama v Lajnah,Jama občasni izvir,geomorfp,državni,3,411178,108237,POINT (411178.4079 108237.4529)
ZOS_NV_PNT_JAME.7438,41646,,Kamnonarska jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,419279,108937,POINT (419278.5101 108937.3443)
ZOS_NV_PNT_JAME.7446,41654,,Rotarjev brezen,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,431263,76597,POINT (431263.1651 76596.5409999993)
ZOS_NV_PNT_JAME.7450,41658,,Jama pri Orehovških ponikvah,Vodoravna jama,geomorfp,državni,3,434178,65686,POINT (434178.0781 65686.3280999996)
ZOS_NV_PNT_JAME.7458,41666,,Golobina na Gornjih Ravnah,Brezno,geomorfp,državni,3,441128,64719,POINT (441128 64719)
ZOS_NV_PNT_JAME.7613,41821,,Peklova jama,Brezno,geomorfp,državni,3,481150,73758,POINT (481150 73758)
ZOS_NV_PNT_JAME.7617,41825,,Jurinovka,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,516488,47971,POINT (516488 47971)
ZOS_NV_PNT_JAME.7624,41832,,Osrečanova Zvonica,Poševno ali stopnjasto brezno,geomorfp,državni,3,514638,135087,POINT (514638 135087)
ZOS_NV_PNT_JAME.7665,41873,,Brezno pri Grižarju,Poševno ali stopnjasto brezno,geomorfp,državni,3,432524,90972,POINT (432524 90972)
ZOS_NV_PNT_JAME.7669,41877,,Jama v Kotljah,"Spodmol, kevdrc",geomorfp,državni,3,423498,95047,POINT (423498.446 95047.0039000008)
ZOS_NV_PNT_JAME.7673,41881,,Jama na Grački,Poševno ali stopnjasto brezno,geomorfp,državni,3,415053,69017,POINT (415052.7587 69016.6184)
ZOS_NV_PNT_JAME.7680,41888,,Jazben 1 na Avberskem,Brezno,geomorfp,državni,3,412145,70808,POINT (412144.7434 70807.7164999992)
ZOS_NV_PNT_JAME.7684,41892,,Trebčica,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,411469,73708,POINT (411468.7828 73707.7848000005)
ZOS_NV_PNT_JAME.7695,41903,,Vilenica 2 pri Bogu,"Spodmol, kevdrc",geomorfp,državni,3,415269,72619,POINT (415268.8182 72618.6648999993)
ZOS_NV_PNT_JAME.7699,41907,,Jama nad Kotličem,Brezno,geomorfp,državni,3,418114,68952,POINT (418114 68952)
ZOS_NV_PNT_JAME.7706,41914,,Pavlinska jama,Brezno,geomorfp,državni,3,523828,38785,POINT (523828.327 38785.0013999995)
ZOS_NV_PNT_JAME.7710,41918,,Džot v Vrtačah,"Spodmol, kevdrc",geomorfp,državni,3,523798,38385,POINT (523798.3261 38384.9987000003)
ZOS_NV_PNT_JAME.7713,41921,,Jama pri drogu 70,Brezno,geomorfp,državni,3,412148,60547,POINT (412147.6178 60546.5812999997)
ZOS_NV_PNT_JAME.7338,41546,,Babja jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,502162,80023,POINT (502161.9266 80023.2322000004)
ZOS_NV_PNT_JAME.7341,41549,,Risnik,Brezno,geomorfp,državni,3,430986,63995,POINT (430986 63995)
ZOS_NV_PNT_JAME.7349,41557,,Polhova jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,431913,62720,POINT (431913 62720)
ZOS_NV_PNT_JAME.7352,41560,,Rovtnarjev brezen,Poševno ali stopnjasto brezno,geomorfp,državni,3,418678,99587,POINT (418678.3004 99587.2034000009)
ZOS_NV_PNT_JAME.7356,41564,,Basage,Brezno,geomorfp,državni,3,433758,67866,POINT (433758.1264 67866.3728)
ZOS_NV_PNT_JAME.7367,41575,,Marjanščica,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,475001,84575,POINT (475001 84575)
ZOS_NV_PNT_JAME.7371,41579,,Brezno v cestnem useku nad Črnim kalom,Brezno,geomorfp,državni,3,412282,46966,POINT (412282.4546 46966.4923999999)
ZOS_NV_PNT_JAME.7376,41584,,Luknja za Široko grapo,Brezno,geomorfp,državni,3,446619,86277,POINT (446618.5975 86276.5850000009)
ZOS_NV_PNT_JAME.7419,41627,,Brezno v Preski,Brezno,geomorfp,državni,3,437498,73636,POINT (437498.2913 73636.4306000005)
ZOS_NV_PNT_JAME.7423,41631,,Brezen v Jelenku,Brezno,geomorfp,državni,3,419428,108187,POINT (419428.4924 108187.337400001)
