fid,koda_obm,nv_status,ime_obm,nv_kratka_oznaka,nv_zvrsti,nv_pomen,nv_rezim_vstop,nv_koord_e,nv_koord_n,geometry
ZOS_NV_PNT_JAME.19557,53765,,Brezno pri Snežnih kotlih 14,Brezno,geomorfp,državni,3,385674,137435,POINT (385674 137435)
ZOS_NV_PNT_JAME.19579,53787,,Jama na Ilovici,Poševno ali stopnjasto brezno,geomorfp,državni,3,387275,121493,POINT (387275 121493)
ZOS_NV_PNT_JAME.19613,53821,,Mesarjevo brezno na Vrškem gozdu,Brezno,geomorfp,državni,3,484075,71503,POINT (484075 71503)
ZOS_NV_PNT_JAME.16999,51207,,Cukarjeva jama,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,487499,91293,POINT (487499.0751 91292.6522000004)
ZOS_NV_PNT_JAME.17028,51236,,Podskalna zatočiščnica,Brezno,geomorfp,državni,3,487620,46101,POINT (487619.8991 46100.5489000008)
ZOS_NV_PNT_JAME.17059,51267,,M-21 (Jelovica),Brezno,geomorfp,državni,3,437977,126802,POINT (437977.3056 126802.3572)
ZOS_NV_PNT_JAME.18319,52527,,Spodmol na Hrvatovem griču,Vodoravna jama,geomorfp,državni,3,432953,81917,POINT (432953 81917)
ZOS_NV_PNT_JAME.18346,52554,,Tinetovo brezno pod Semprimožem 2,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,486512,127712,POINT (486512 127712)
ZOS_NV_PNT_JAME.18384,52592,,Jama Janeza Mevca,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,443226,85613,POINT (443226 85613)
ZOS_NV_PNT_JAME.15867,50075,,Brezno nad Bohinjskim prevalom,Brezno,geomorfp,državni,3,423789,123308,POINT (423788.9237 123307.633199999)
ZOS_NV_PNT_JAME.15899,50107,,Spodmol treh vhodov,"Spodmol, kevdrc",geomorfp,državni,3,414881,43779,POINT (414881.4513 43779.4306000005)
ZOS_NV_PNT_JAME.19629,53837,,Rimljanka,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,500651,46799,POINT (500651 46799)
ZOS_NV_PNT_JAME.19656,53864,,Mali Kačji hrbec,Brezno,geomorfp,državni,3,480167,59939,POINT (480167 59939)
ZOS_NV_PNT_JAME.19684,53892,,Brezno pri strašnem vikendu,Brezno,geomorfp,državni,3,472928,78194,POINT (472928 78194)
ZOS_NV_PNT_JAME.17088,51296,,Brezno pri Zjotu,Brezno,geomorfp,državni,3,507876,45188,POINT (507876.2557 45188.2342000008)
ZOS_NV_PNT_JAME.17113,51321,,Zjot 3 pod Kopo,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,502756,53183,POINT (502756.2069 53182.5216000006)
ZOS_NV_PNT_JAME.17152,51360,,Bastlov bruhalnik,Vodoravna jama,geomorfp,državni,3,506718,128589,POINT (506718.2638 128588.529899999)
ZOS_NV_PNT_JAME.18423,52631,,Ksenija 4,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,499467,61798,POINT (499467 61798)
ZOS_NV_PNT_JAME.18460,52668,,Brezno pri Grabrijanovi parceli,Brezno,geomorfp,državni,3,509092,44652,POINT (509092 44652)
ZOS_NV_PNT_JAME.15931,50139,,Jama Trije križi,Vodoravna jama,geomorfp,državni,3,496101,52067,POINT (496101 52067)
ZOS_NV_PNT_JAME.15959,50167,,Vučji dol 2,Brezno,geomorfp,državni,3,508335,45432,POINT (508335.2604 45432.2247000001)
ZOS_NV_PNT_JAME.19720,53928,,Brezno pod Škriljem,Brezno,geomorfp,državni,3,508031,55587,POINT (508031 55587)
ZOS_NV_PNT_JAME.19742,53950,,Brezno v Velikem Gregorjevcu 3,Brezno,geomorfp,državni,3,435905,126472,POINT (435905 126472)
ZOS_NV_PNT_JAME.19772,53980,,Jama ob Kravtovi cesti,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,504929,63044,POINT (504929 63044)
ZOS_NV_PNT_JAME.17183,51391,,Vreče 4,Brezno,geomorfp,državni,3,438927,130400,POINT (438927.4514 130400.382999999)
ZOS_NV_PNT_JAME.11345,45553,,Jama ob cesti pred logarnico Cink,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,498626,63015,POINT (498626 63015)
ZOS_NV_PNT_JAME.11357,45565,,Brezno pod Mehovskim hribom,Poševno ali stopnjasto brezno,geomorfp,državni,3,515933,66779,POINT (515933 66779)
ZOS_NV_PNT_JAME.11369,45577,,Novembrsko brezno,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,486753,55183,POINT (486753 55183)
ZOS_NV_PNT_JAME.11380,45588,,Brezno dveh lobanj,Poševno ali stopnjasto brezno,geomorfp,državni,3,492707,139553,POINT (492707.2797 139553.150699999)
ZOS_NV_PNT_JAME.12657,46865,,Brezno pri Jazbinah,Brezno,geomorfp,državni,3,473923,64206,POINT (473923.3133 64205.8170999996)
ZOS_NV_PNT_JAME.12671,46879,,M-1 (Triglavski podi),Jama/brezno,geomorfp,državni,3,409639,137878,POINT (409638.8374 137878.096100001)
ZOS_NV_PNT_JAME.12687,46895,,Jama treh kosti,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,477350,85646,POINT (477350 85646)
ZOS_NV_PNT_JAME.12705,46913,,Brezno na Možicu,"Jama z breznom in etažami, poševna jama",geomorfp,državni,3,422429,123098,POINT (422428.8734 123097.645300001)
ZOS_NV_PNT_JAME.12727,46935,,Košutina grobnica,"Spodmol, kevdrc",geomorfp,državni,3,427358,75027,POINT (427358.0348 75026.5091999993)
ZOS_NV_PNT_JAME.14082,48290,,M24,Poševno ali stopnjasto brezno,geomorfp,državni,3,404879,123738,POINT (404878.5207 123737.9537)
